SATUAN KERJA;SATKER;KODE ESELON I;ESELON I
Sekretariat Jenderal;Sekretariat Jenderal;1;SEKRETARIAT JENDERAL
Biro Perencanaan dan Manajemen Kinerja;Biro Perencanaan dan Manajemen Kinerja;1;SEKRETARIAT JENDERAL
Biro Keuangan dan Barang Milik Negara;Biro Keuangan dan BMN;1;SEKRETARIAT JENDERAL
Biro Organisasi dan Sumber Daya Manusia Aparatur;Biro OSDMA;1;SEKRETARIAT JENDERAL
Biro Hukum;Biro Hukum;1;SEKRETARIAT JENDERAL
Biro Umum;Biro Umum;1;SEKRETARIAT JENDERAL
Biro Kerja Sama;Biro Kerja Sama;1;SEKRETARIAT JENDERAL
Biro Hubungan Masyarakat;Biro Hubungan Masyarakat;1;SEKRETARIAT JENDERAL
Pusat Pengembangan SDM Ketenagakerjaan;PPSDM Ketenagakerjaan;1;SEKRETARIAT JENDERAL
Pusat Pasar Kerja;Pusat Pasar Kerja;1;SEKRETARIAT JENDERAL
Politeknik Ketenagakerjaan;Politeknik Ketenagakerjaan;1;SEKRETARIAT JENDERAL
Inspektorat Jenderal;Inspektorat Jenderal;2;INSPEKTORAT JENDERAL
Sekretariat Inspektorat Jenderal;Sekretariat Inspektorat Jenderal;2;INSPEKTORAT JENDERAL
Inspektorat I;Inspektorat I;2;INSPEKTORAT JENDERAL
Inspektorat II;Inspektorat II;2;INSPEKTORAT JENDERAL
Inspektorat III;Inspektorat III;2;INSPEKTORAT JENDERAL
Inspektorat IV;Inspektorat IV;2;INSPEKTORAT JENDERAL
Ditjen Pembinaan Penempatan Tenaga Kerja dan Perluasan Kesempatan Kerja;Ditjen Binapenta dan PKK;4;BINAPENTA DAN PKK
Sekretariat Direktorat Jenderal Pembinaan Penempatan Tenaga Kerja dan Perluasan Kesempatan Kerja;Setditjen Binapenta dan PKK;4;BINAPENTA DAN PKK
Direktorat Bina Penempatan Tenaga Kerja;Direktorat Bina Penempatan Tenaga Kerja;4;BINAPENTA DAN PKK
Direktorat Bina Penempatan Tenaga Kerja Khusus;Direktorat Bina Penempatan Tenaga Kerja Khusus;4;BINAPENTA DAN PKK
Direktorat Bina Perluasan Kesempatan Kerja;Direktorat Bina Perluasan Kesempatan Kerja;4;BINAPENTA DAN PKK
Direktorat Bina Pengendalian Penggunaan Tenaga Kerja Asing;Direktorat Bina Pengendalian Penggunaan Tenaga Kerja Asing;4;BINAPENTA DAN PKK
Direktorat Bina Pengantar Kerja;Direktorat Bina Pengantar Kerja;4;BINAPENTA DAN PKK
Balai Besar Perluasan Kesempatan Kerja Bandung Barat;BBPKK Bandung Barat;4;BINAPENTA DAN PKK
Balai Perluasan Kesempatan Kerja Bekasi;BPKK Bekasi;4;BINAPENTA DAN PKK
Balai Perluasan Kesempatan Kerja Kendari;BPKK Kendari;4;BINAPENTA DAN PKK
Ditjen Pembinaan Hubungan Industrial dan Jaminan Sosial Tenaga Kerja;Ditjen PHI dan Jamsostek;5;PHI DAN JAMSOSTEK
Sekretariat Direktorat Jenderal Pembinaan Hubungan Industrial dan Jaminan Sosial Tenaga Kerja;Setditjen PHI dan Jamsostek;5;PHI DAN JAMSOSTEK
Direktorat Hubungan Kerja dan Pengupahan;Direktorat Hubungan Kerja dan Pengupahan;5;PHI DAN JAMSOSTEK
Direktorat Jaminan Sosial Tenaga Kerja dan Fasilitasi Kesejahteraan Pekerja;Direktorat Jaminan Sosial Tenaga Kerja dan Fasilitasi Kesejahteraan Pekerja;5;PHI DAN JAMSOSTEK
Direktorat Bina Kelembagaan dan Pencegahan Perselisihan Hubungan Industrial;Direktorat Bina Kelembagaan dan Pencegahan Perselisihan Hubungan Industrial;5;PHI DAN JAMSOSTEK
Direktorat Penyelesaian Perselisihan Hubungan Industrial;Direktorat Penyelesaian Perselisihan Hubungan Industrial;5;PHI DAN JAMSOSTEK
Direktorat Bina Mediator Hubungan Industrial;Direktorat Bina Mediator Hubungan Industrial;5;PHI DAN JAMSOSTEK
Ditjen Pembinaan Pengawasan Ketenagakerjaan dan Keselamatan dan Kesehatan Kerja;Ditjen Binwasnaker dan K3;8;BINWASNAKER DAN K3
Sekretariat Direktorat Jenderal Pembinaan Pengawasan Ketenagakerjaan dan Keselamatan dan Kesehatan Kerja;Setditjen Binwasnaker dan K3;8;BINWASNAKER DAN K3
Direktorat Bina Sistem Pengawasan Ketenagakerjaan;Direktorat Bina Sistem Pengawasan Ketenagakerjaan;8;BINWASNAKER DAN K3
Direktorat Bina Kelembagaan Keselamatan dan Kesehatan Kerja;Direktorat Bina Kelembagaan K3;8;BINWASNAKER DAN K3
Direktorat Bina Pemeriksaan Norma Ketenagakerjaan;Direktorat Bina Pemeriksaan Norma Ketenagakerjaan;8;BINWASNAKER DAN K3
Direktorat Bina Pengujian Keselamatan dan Kesehatan Kerja;Direktorat Bina Pengujian K3;8;BINWASNAKER DAN K3
Direktorat Bina Pengawas Ketenagakerjaan dan Penguji Keselamatan dan Kesehatan Kerja;Direktorat Bina Pengawas Ketenagakerjaan dan Penguji K3;8;BINWASNAKER DAN K3
Balai Besar Keselamatan dan Kesehatan Kerja Jakarta;Balai Besar K3 Jakarta;8;BINWASNAKER DAN K3
Balai Higene Perusahaan Kesehatan dan Keselamatan Kerja Surabaya;Balai Higene Perusahaan K3 Surabaya;8;BINWASNAKER DAN K3
Balai Keselamatan dan Kesehatan Kerja Bandung;Balai K3 Bandung;8;BINWASNAKER DAN K3
Balai Keselamatan dan Kesehatan Kerja Makassar;Balai K3 Makassar;8;BINWASNAKER DAN K3
Balai Keselamatan dan Kesehatan Kerja Medan;Balai K3 Medan;8;BINWASNAKER DAN K3
Balai Keselamatan dan Kesehatan Kerja Samarinda;Balai K3 Samarinda;8;BINWASNAKER DAN K3
Badan Perencanaan dan Pengembangan Ketenagakerjaan;Barenbang Ketenagakerjaan;11;BARENBANG
Sekretariat Badan Perencanaan dan Pengembangan Ketenagakerjaan;Sekretariat Barenbang Ketenagakerjaan;11;BARENBANG
Pusat Perencanaan Ketenagakerjaan;Pusat Perencanaan Ketenagakerjaan;11;BARENBANG
Pusat Data dan Teknologi Informasi Ketenagakerjaan;Pusat Data dan Teknologi Informasi Ketenagakerjaan;11;BARENBANG
Pusat Pengembangan Kebijakan Ketenagakerjaan;Pusat Pengembangan Kebijakan Ketenagakerjaan;11;BARENBANG
Ditjen Pembinaan Pelatihan Vokasi dan Produktivitas;Ditjen Binalavotas;13;BINALAVOTAS
Sekretariat Direktorat Jenderal Pembinaan Pelatihan Vokasi dan Produktivitas;Setditjen Binalavotas;13;BINALAVOTAS
Direktorat Bina Standardisasi Kompetensi dan Program Pelatihan;Direktorat Bina Standardisasi Kompetensi dan Program Pelatihan;13;BINALAVOTAS
Direktorat Bina Kelembagaan Pelatihan Vokasi;Direktorat Bina Kelembagaan Pelatihan Vokasi;13;BINALAVOTAS
Direktorat Bina Penyelenggaraan Pelatihan Vokasi dan Pemagangan;Direktorat Bina Penyelenggaraan Pelatihan Vokasi dan Pemagangan;13;BINALAVOTAS
Direktorat Bina Peningkatan Produktivitas;Direktorat Bina Peningkatan Produktivitas;13;BINALAVOTAS
Direktorat Bina Instruktur dan Tenaga Pelatihan;Direktorat Bina Instruktur dan Tenaga Pelatihan;13;BINALAVOTAS
Sekretariat Badan Nasional Sertifikasi Profesi;Sekretariat BNSP;13;BINALAVOTAS
Balai Besar Pelatihan Vokasi dan Produktivitas Bandung;BBPVP Bandung;13;BINALAVOTAS
Balai Besar Pelatihan Vokasi dan Produktivitas Bekasi;BBPVP Bekasi;13;BINALAVOTAS
Balai Besar Pelatihan Vokasi dan Produktivitas Makassar;BBPVP Makassar;13;BINALAVOTAS
Balai Besar Pelatihan Vokasi dan Produktivitas Medan;BBPVP Medan;13;BINALAVOTAS
Balai Besar Pelatihan Vokasi dan Produktivitas Semarang;BBPVP Semarang;13;BINALAVOTAS
Balai Besar Pelatihan Vokasi dan Produktivitas Serang;BBPVP Serang;13;BINALAVOTAS
Balai Pelatihan Vokasi dan Produktivitas Ambon;BPVP Ambon;13;BINALAVOTAS
Balai Pelatihan Vokasi dan Produktivitas Banda Aceh;BPVP Banda Aceh;13;BINALAVOTAS
Balai Pelatihan Vokasi dan Produktivitas Bandung Barat;BPVP Bandung Barat;13;BINALAVOTAS
Balai Pelatihan Vokasi dan Produktivitas Bantaeng;BPVP Bantaeng;13;BINALAVOTAS
Balai Pelatihan Vokasi dan Produktivitas Banyuwangi;BPVP Banyuwangi;13;BINALAVOTAS
Balai Pelatihan Vokasi dan Produktivitas Belitung;BPVP Belitung;13;BINALAVOTAS
Balai Pelatihan Vokasi dan Produktivitas Kendari;BPVP Kendari;13;BINALAVOTAS
Balai Pelatihan Vokasi dan Produktivitas Lombok Timur;BPVP Lombok Timur;13;BINALAVOTAS
Balai Pelatihan Vokasi dan Produktivitas Padang;BPVP Padang;13;BINALAVOTAS
Balai Pelatihan Vokasi dan Produktivitas Pangkajene dan Kepulauan;BPVP Pangkajene dan Kepulauan;13;BINALAVOTAS
Balai Pelatihan Vokasi dan Produktivitas Samarinda;BPVP Samarinda;13;BINALAVOTAS
Balai Pelatihan Vokasi dan Produktivitas Sidoarjo;BPVP Sidoarjo;13;BINALAVOTAS
Balai Pelatihan Vokasi dan Produktivitas Sorong;BPVP Sorong;13;BINALAVOTAS
Balai Pelatihan Vokasi dan Produktivitas Surakarta;BPVP Surakarta;13;BINALAVOTAS
Balai Pelatihan Vokasi dan Produktivitas Ternate;BPVP Ternate;13;BINALAVOTAS
Dinas Ketenagakerjaan Dan Energi Sumber Daya Mineral Provinsi Bali;Dinas Ketenagakerjaan Dan Energi Sumber Daya Mineral Provinsi Bali;01_DEKON;DEKONSENTRASI
Dinas Perindustrian, Perdagangan, Koperasi, Ukm Dan Tenaga Kerja Provinsi Papua;Dinas Perindustrian, Perdagangan, Koperasi, UKM dan Tenaga Kerja Provinsi Papua;01_DEKON;DEKONSENTRASI
Dinas Tenaga Kerja Daerah Provinsi Sulawesi Barat;Disnaker Daerah Provinsi Sulawesi Barat;01_DEKON;DEKONSENTRASI
Dinas Tenaga Kerja Dan Mobilitas Penduduk Aceh;Disnaker Dan Mobilitas Penduduk Aceh;01_DEKON;DEKONSENTRASI
Dinas Tenaga Kerja Dan Transmigrasi Prov. Nusa Tenggara Barat;Disnakertrans Prov. Nusa Tenggara Barat;01_DEKON;DEKONSENTRASI
Dinas Tenaga Kerja Dan Transmigrasi Prov. Nusa Tenggara Timur;Disnakertrans Prov. Nusa Tenggara Timur;01_DEKON;DEKONSENTRASI
Dinas Tenaga Kerja Dan Transmigrasi Provinsi Banten;Disnakertrans Provinsi Banten;01_DEKON;DEKONSENTRASI
Dinas Tenaga Kerja Dan Transmigrasi Provinsi Bengkulu;Disnakertrans Provinsi Bengkulu;01_DEKON;DEKONSENTRASI
Dinas Tenaga Kerja Dan Transmigrasi Provinsi Jambi;Disnakertrans Provinsi Jambi;01_DEKON;DEKONSENTRASI
Dinas Tenaga Kerja Dan Transmigrasi Provinsi Jawa Barat;Disnakertrans Provinsi Jawa Barat;01_DEKON;DEKONSENTRASI
Dinas Tenaga Kerja Dan Transmigrasi Provinsi Jawa Tengah;Disnakertrans Provinsi Jawa Tengah;01_DEKON;DEKONSENTRASI
Dinas Tenaga Kerja Dan Transmigrasi Provinsi Jawa Timur;Disnakertrans Provinsi Jawa Timur;01_DEKON;DEKONSENTRASI
Dinas Tenaga Kerja Dan Transmigrasi Provinsi Kalimantan Barat;Disnakertrans Provinsi Kalimantan Barat;01_DEKON;DEKONSENTRASI
Dinas Tenaga Kerja Dan Transmigrasi Provinsi Kalimantan Selatan;Disnakertrans Provinsi Kalimantan Selatan;01_DEKON;DEKONSENTRASI
Dinas Tenaga Kerja Dan Transmigrasi Provinsi Kalimantan Tengah;Disnakertrans Provinsi Kalimantan Tengah;01_DEKON;DEKONSENTRASI
Dinas Tenaga Kerja Dan Transmigrasi Provinsi Kalimantan Timur;Disnakertrans Provinsi Kalimantan Timur;01_DEKON;DEKONSENTRASI
Dinas Tenaga Kerja Dan Transmigrasi Provinsi Kalimantan Utara;Disnakertrans Provinsi Kalimantan Utara;01_DEKON;DEKONSENTRASI
Dinas Tenaga Kerja Dan Transmigrasi Provinsi Kepulauan Riau;Disnakertrans Provinsi Kepulauan Riau;01_DEKON;DEKONSENTRASI
Dinas Tenaga Kerja Dan Transmigrasi Provinsi Maluku;Disnakertrans Provinsi Maluku;01_DEKON;DEKONSENTRASI
Dinas Tenaga Kerja Dan Transmigrasi Provinsi Maluku Utara;Disnakertrans Provinsi Maluku Utara;01_DEKON;DEKONSENTRASI
Dinas Tenaga Kerja Dan Transmigrasi Provinsi Papua Tengah;Disnakertrans Provinsi Papua Tengah;01_DEKON;DEKONSENTRASI
Dinas Tenaga Kerja Dan Transmigrasi Provinsi Riau;Disnakertrans Provinsi Riau;01_DEKON;DEKONSENTRASI
Dinas Tenaga Kerja Dan Transmigrasi Provinsi Sulawesi Selatan;Disnakertrans Provinsi Sulawesi Selatan;01_DEKON;DEKONSENTRASI
Dinas Tenaga Kerja Dan Transmigrasi Provinsi Sulawesi Tengah;Disnakertrans Provinsi Sulawesi Tengah;01_DEKON;DEKONSENTRASI
Dinas Tenaga Kerja Dan Transmigrasi Provinsi Sulawesi Utara;Disnakertrans Provinsi Sulawesi Utara;01_DEKON;DEKONSENTRASI
Dinas Tenaga Kerja Dan Transmigrasi Provinsi Sumatera Barat;Disnakertrans Provinsi Sumatera Barat;01_DEKON;DEKONSENTRASI
Dinas Tenaga Kerja Dan Transmigrasi Provinsi Sumatera Selatan;Disnakertrans Provinsi Sumatera Selatan;01_DEKON;DEKONSENTRASI
Dinas Tenaga Kerja Dan Transmigrasi Provinsi Yogyakarta;Disnakertrans Provinsi Yogyakarta;01_DEKON;DEKONSENTRASI
Dinas Tenaga Kerja Provinsi Bangka Belitung;Disnaker Provinsi Bangka Belitung;01_DEKON;DEKONSENTRASI
Dinas Tenaga Kerja Provinsi Lampung;Disnaker Provinsi Lampung;01_DEKON;DEKONSENTRASI
Dinas Tenaga Kerja Provinsi Sumatera Utara;Disnaker Provinsi Sumatera Utara;01_DEKON;DEKONSENTRASI
Dinas Tenaga Kerja, Esdm Dan Transmigrasi Provinsi Gorontalo;Disnaker, Esdm Dan Transmigrasi Provinsi Gorontalo;01_DEKON;DEKONSENTRASI
Dinas Tenaga Kerja, Transmigrasi, Dan Energi Provinsi Dki Jakarta;Disnaker, Transmigrasi, Dan Energi Provinsi Dki Jakarta;01_DEKON;DEKONSENTRASI
Dinas Tenaga Kerja, Transmigrasi, Energi Dan Sumber Daya Mineral Provinsi Papua Barat Daya;Disnakertrans ESDM Provinsi Papua Barat Daya;01_DEKON;DEKONSENTRASI
Dinas Tenaga Kerja, Transmigrasi, Energi Dan Sumber Daya Mineral Provinsi Papua Pegunungan;Disnakertrans ESDM Provinsi Papua Pegunungan;01_DEKON;DEKONSENTRASI
Dinas Tenaga Kerja, Transmigrasi, Energi Dan Sumber Daya Mineral Provinsi Papua Selatan;Disnakertrans ESDM Provinsi Papua Selatan;01_DEKON;DEKONSENTRASI
Dinas Transmigrasi Dan Tenaga Kerja Provinsi Papua Barat;Dinas Transmigrasi Dan Tenaga Kerja Provinsi Papua Barat;01_DEKON;DEKONSENTRASI
Dinas Transmigrasi Dan Tenaga Kerja Provinsi Sulawesi Tenggara;Dinas Transmigrasi Dan Tenaga Kerja Provinsi Sulawesi Tenggara;01_DEKON;DEKONSENTRASI
